SELECT * FROM empleado WHERE nombre LIKE 'M%';
+-------------+-----------+------------+------------------+------------------+---------------+
| id_empleado | id_puesto | nombre     | apellido_paterno | apellido_materno | rfc           |
|         340 |       248 | Daria       | Reuter           | Nowland          | WOLK390698L94 |
|         347 |       858 | Rhianna     | Randlesome       | Sturr            | OAQX878390D72 |
|         351 |       751 | Conchita    | Catling          | Okie             | EOXD289370Y81 |
|         356 |       605 | Melosa      | Spavins          | Hesse            | FDJP585948D78 |
|         357 |       410 | Gavra       | Bette            | Cozins           | YQLV431781I98 |
|         362 |       478 | Ariella     | Crake            | Blunsden         | NJSM002269V68 |
|         366 |       184 | Correna     | Webburn          | Tiery            | ESPL266091F14 |
|         369 |       339 | Giuditta    | Chicchetto       | Helbeck          | NMFW494417N54 |
|         377 |       468 | Rasla       | Brou             | Burlingham       | VZUD996301F42 |
|         378 |       200 | Damita      | Fishburn         | Rait             | WQZR682964E50 |
|         382 |       196 | Sonya       | Aldcorn          | Crofts           | REGA338960L43 |
|         388 |       924 | Giuditta    | Domelow          | Brum             | LTQK598004S92 |
|         389 |       396 | Chiarra     | Feldbrin         | Malt             | CDTS611416O25 |
|         391 |       354 | Quintina    | Semper           | Dwelly           | VSUD274785Y76 |
|         402 |        74 | Othilia     | Signe            | Wadforth         | TPEU887063N71 |
|         403 |       367 | Adora       | Slowcock         | Ceschelli        | HJIN868748B84 |
|         405 |       138 | Emalia      | Stirrip          | Woodeson         | QYSL651483Z78 |
|         412 |       789 | Orsa        | Knappitt         | Lemanu           | MYIR323187W36 |
|         413 |       433 | Julianna    | Gecke            | Guille           | WVTI176350P68 |
|         417 |       124 | Odella      | Grenshiels       | Padfield         | IAVF216772E32 |
|         419 |       125 | Milka       | Benninck         | Le Sieur         | UNSA091919X38 |
|         420 |       690 | Jacquenetta | Broggelli        | Flacknell        | MDYG190806F87 |
|         423 |        65 | Nikola      | Trouncer         | Twigge           | TMIC021452S09 |
|         432 |       207 | Hestia      | Barlace          | Aimer            | ASXM428955E06 |
|         441 |       450 | Myrilla     | Hathaway         | Thebe            | OYTF089854O67 |
|         442 |       717 | Rubia       | McChesney        | Ellaman          | QKSH780732L50 |
|         445 |       626 | Aarika      | Pinder           | Ramard           | OWHI207507L50 |
|         446 |       171 | Moyna       | Yeatman          | Duffrie          | PBUK517962J58 |
|         470 |       868 | Lolita      | Elloit           | Ghion            | VRPG236311X99 |
|         474 |       346 | Ofilia      | Chestle          | Tinston          | NSTY101576D12 |
|         475 |       428 | Tarra       | Duckham          | Filchakov        | UCBK992247L18 |
|         476 |       197 | Helaina     | Sire             | Mascall          | UPJX396352B86 |
|         479 |       546 | Johnna      | Lamping          | Parcells         | XGNM863838T12 |
|         484 |       783 | Leshia      | Dutt             | Childers         | PUSQ132716A88 |
|         487 |       428 | Charlotta   | Padbery          | Shellsheere      | DGSR197987M39 |
|         491 |       179 | Adrianna    | Kirkland         | Potteril         | MAIL000696B20 |
|         495 |       410 | Genna       | Causton          | Edmett           | AYMG189843O33 |
|         498 |       946 | Blancha     | Miko             | Dalla            | RMTP820682R11 |
|         505 |       286 | Guillema    | Prentice         | Wethers          | ZGTS218924U73 |
|         546 |       930 | Amalia      | Leglise          | Spinke           | MVCP113829B05 |
|         549 |       185 | Lydia       | Hainge           | Sumbler          | JMOA547185W26 |
|         550 |       512 | Koressa     | Eustice          | Pogue            | QKST857657F50 |
|         551 |       753 | Gloria      | Godbert          | Robbel           | OLHY352557V75 |
|         553 |       730 | Bernadina   | Salvador         | Kerans           | MWYN896771E17 |
|         564 |       687 | Trina       | Wollrauch        | Ramey            | ZEYJ527376S78 |
|         569 |       871 | Arlana      | Fanstone         | Brothers         | TARG400578M92 |
|         571 |       865 | Nora        | O'Suaird         | MacAskie         | LKTM863284G29 |
|         574 |       889 | Margaretha  | Woodrow          | Van der Son      | RVDQ721468F14 |
|         579 |       748 | Sada        | Madle            | Neath            | XRAN981788T74 |
|         580 |       589 | Marietta    | Rupert           | Foggarty         | VXNT468062Y38 |
|         583 |       864 | Alyosha     | Foottit          | Hankey           | KUXG434650N64 |
|         584 |       331 | Kylila      | MacNeilly        | Bonner           | FALC555993A58 |
|         587 |       857 | Sidonia     | Rooson           | Kneel            | AJPM216956L73 |
|         593 |       495 | Gratiana    | Edelheit         | Gask             | ENCF292706Y39 |
|         596 |       741 | Zenia       | Gearing          | Barajas          | HKCO655558I12 |
|         600 |       415 | Teresita    | Knipe            | Boreham          | IVJL637432F66 |
|         607 |       943 | Grazia      | Hordell          | Simonaitis       | ZJRT089940A46 |
|         617 |       618 | Orella      | Blankett         | Tabord           | ISKN351640P30 |
|         624 |       299 | Lara        | Tamplin          | Tolchard         | OZIP916792K89 |
|         630 |       492 | Annadiana   | Yurukhin         | McEttigen        | CIVG929907U72 |
|         632 |       203 | Melania     | Beels            | Rizzolo          | ZTSF980067V84 |
|         635 |        57 | Giacinta    | Rentilll         | Dallan           | MFTB406398G41 |
|         638 |       699 | Stella      | Florentine       | Wellard          | MQOX597488R77 |
|         640 |       583 | Katina      | Lepick           | Peeters          | MYTF104594O21 |
|         641 |       664 | Essa        | Charte           | Raubenheimer     | NJAB526219K75 |
|         642 |       434 | Mela        | Oakenfull        | Lanmeid          | UXGQ962492V26 |
|         646 |       321 | Franciska   | McClosh          | Ronald           | WSTC262334S83 |
|         647 |       708 | Zora        | Lindsay          | Tofanelli        | JEQS715894Y48 |
|         653 |       113 | Reba        | Morshead         | Goakes           | BIPN747304U48 |
|         654 |       901 | Bea         | Allaway          | Haggata          | SWKX540681V20 |
|         658 |       523 | Petronia    | Yeabsley         | Airdrie          | KYQB494566B37 |
|         667 |       499 | Minna       | Willcott         | Yendall          | PZJG071133Z25 |
|         668 |        57 | Karia       | Lardiner         | Jobb             | PQWH192716P51 |
|         673 |        93 | Lissa       | Reschke          | Sheringham       | WVIS504842F31 |
|         675 |       850 | Myca        | Joao             | Banghe           | GNXL987206R43 |
|         677 |       711 | Lenka       | Latham           | Wyeth            | BIGW500163K51 |
|         680 |       882 | Arlana      | Merioth          | Sellar           | EFOW416889B20 |
|         691 |       197 | Miguelita   | Gyrgorcewicx     | Baitson          | FHUQ255183C40 |
|         693 |       812 | Marcellina  | Rennebach        | O'Fairy          | KSXC084833K49 |
|         701 |       712 | Odetta      | Turpey           | Saterweyte       | MZDP838003U97 |
|         702 |       120 | Marketa     | Marcone          | Lalley           | BOWR779925S05 |
|         709 |       939 | Almeda      | Goodship         | Scroxton         | FCPY021086T81 |
|         711 |       691 | Eustacia    | Hallet           | Orrell           | AVPK310066T87 |
|         715 |       906 | Lelia       | Dabourne         | Mossop           | GHDW677979U76 |
|         724 |       729 | Sondra      | Brownill         | Haggerty         | JHWQ625311N70 |
|         731 |       418 | Moina       | Yesson           | Jellyman         | ZBHV480356S19 |
|         732 |       614 | Delphinia   | Cumes            | Powderham        | DYXA987932L39 |
|         733 |       905 | Marla       | Morison          | Radbone          | GINF874329W18 |
|         737 |       536 | Correna     | Dudleston        | Rudyard          | XAYM530480R40 |
|         739 |       701 | Elicia      | Hatch            | Chuck            | MPDF042882A21 |
|         741 |       216 | Charita     | Levi             | Habbergham       | ETJM050841M79 |
|         744 |        32 | Dulciana    | Livick           | Downton          | ENLG744684D91 |
|         747 |       465 | Miguelita   | Grimsdyke        | Nardi            | SUWQ930882K31 |
|         751 |       932 | Dorotea     | Lyle             | Polsin           | FUGR421058A88 |
|         761 |       895 | Arabela     | Rice             | Geikie           | RUZJ847792Y79 |
|         763 |       945 | Margareta   | McElwee          | Venediktov       | QNGU443101F44 |
|         767 |       874 | Estella     | Ledgley          | Battye           | ONAT292293W96 |
|         768 |       372 | Melinda     | Rawet            | Blow             | GFQI220932Q89 |
|         779 |       508 | Clarita     | Mechi            | Yanshonok        | TXDH210317W14 |
|         780 |       241 | Rheta       | Gascar           | Balf             | ANRQ358836W30 |
|         781 |       850 | Monika      | Baytrop          | Wilne            | SBZX438327K92 |
|         790 |       762 | Tedda       | Hopfner          | Brockman         | OEMG184798E78 |
|         792 |       425 | Harrietta   | MacAllen         | Roblin           | VGZS342735B58 |
|         799 |       537 | Inna        | Simmell          | Castano          | WIOP470151T36 |
|         801 |       820 | Peria       | Ruppel           | Thomassen        | DWQV008520A29 |
|         803 |       713 | Rena        | Arthurs          | Dutton           | MWGD080670Y64 |
|         804 |       899 | Krystyna    | Overstone        | Lesley           | KPQZ626712D74 |
|         811 |        33 | Amelina     | Greenfield       | Jolliffe         | LPRX842249C60 |
|         814 |       106 | Sephira     | Burberye         | Brookz           | HSTF641931F96 |
|         817 |       704 | Augusta     | MacCheyne        | Hellens          | XTGY210508F32 |
|         821 |       246 | Helsa       | Bootherstone     | McIlenna         | QWDR379920M52 |
|         822 |       187 | Camila      | Calow            | Peagrim          | GPWC735831D26 |
|         825 |       706 | Amata       | Whitta           | McKinlay         | UXKJ881358Z96 |
|         849 |       949 | Gelya       | Mottley          | De Pero          | IEAJ077316D41 |
|         856 |       557 | Velma       | Phillimore       | Geck             | LDOF647212L80 |
|         879 |       388 | Reena       | Chaplyn          | Skingle          | ENXH084879A42 |
|         883 |       567 | Lira        | Haxley           | Petrovsky        | XVUO908133P99 |
|         887 |       846 | Babita      | Cramp            | Peete            | SGYX618085C34 |
|         891 |       228 | Rebecca     | Simecek          | Lecky            | ZJHC109922Z77 |
|         892 |       842 | Lucinda     | Avrahamov        | Scafe            | NVIJ806580A41 |
|         895 |       331 | Lorinda     | Le land          | Livick           | QHPM116044Z95 |
|         903 |       864 | Frederica   | Duffield         | Kollas           | SWDT671919I65 |
|         905 |       347 | Allianora   | Proschek         | Betje            | LHWT257752Z85 |
|         911 |       482 | Aurelia     | Stepto           | Yetton           | PCAV885315T66 |
|         916 |       342 | Valentia    | Vinten           | Tripney          | HUWA662653L44 |
|         918 |       293 | Emelda      | Pinfold          | Frankes          | SWKB305932O63 |
|         921 |       350 | Antonina    | Piotrowski       | Posen            | XNUY925922P47 |
|         929 |       989 | Orsa        | Angeli           | Haszard          | WTLA351176X54 |
|         930 |       928 | Rebecka     | Rushworth        | Sofe             | XEGT256077M10 |
|         936 |        54 | Austina     | Melhuish         | Ounsworth        | OCRP896435Y34 |
|         938 |       182 | Rycca       | MacKellen        | Lee              | QZFM233330L10 |
|         939 |       725 | Oneida      | Carnall          | Lavell           | TNKA969901O40 |
|         940 |       692 | Corena      | Davy             | Fraczak          | DPYI148640R59 |
|         943 |       263 | Celka       | Helder           | Maberley         | TDRA365570I31 |
|         945 |       963 | Elaina      | Cordes           | Danilov          | DJRY290427T78 |
|         946 |        92 | Felisha     | Heales           | Josephson        | CXIR097305C29 |
|         961 |       597 | Annadiana   | Hulme            | Witherington     | TZVA911739F02 |
|         963 |       664 | Ronda       | Kall             | Bollis           | PMER485165B79 |
|         964 |       907 | Serena      | Janczewski       | Coatham          | WZRX125411Z83 |
|         967 |       160 | Saundra     | Knight           | Grunbaum         | EJIA947174G94 |
|         978 |       499 | Isahella    | Diter            | Sebastian        | VBNZ945061Q36 |
|         981 |       184 | Stevana     | Marchington      | Fonquernie       | XCRT471505X85 |
|         992 |        91 | Bella       | Devo             | Saxelby          | LNQS778477I84 |
|         997 |       489 | Latashia    | Sircomb          | Insall           | MUHK107670P13 |
+-------------+-----------+-------------+------------------+------------------+---------------+
201 rows in set (0.12 sec)


mysql> SELECT * FROM empleado WHERE nombre LIKE 'M%a';
+-------------+-----------+------------+------------------+------------------+---------------+
| id_empleado | id_puesto | nombre     | apellido_paterno | apellido_materno | rfc           |
+-------------+-----------+------------+------------------+------------------+---------------+
|          30 |       258 | Mirabella  | Murden           | Bexon            | QDHW540143A35 |
|         144 |       848 | Madella    | Escalero         | Wenzel           | LHVZ394607R96 |
|         174 |       258 | Melantha   | Ginni            | Wolfindale       | HPDY799736A62 |
|         202 |       775 | Martita    | Baroux           | Pitway           | GWAX539164M60 |
|         300 |       428 | Matilda    | Colquhoun        | Inge             | SUJM985549E80 |
|         356 |       605 | Melosa     | Spavins          | Hesse            | FDJP585948D78 |
|         419 |       125 | Milka      | Benninck         | Le Sieur         | UNSA091919X38 |
|         441 |       450 | Myrilla    | Hathaway         | Thebe            | OYTF089854O67 |
|         446 |       171 | Moyna      | Yeatman          | Duffrie          | PBUK517962J58 |
|         574 |       889 | Margaretha | Woodrow          | Van der Son      | RVDQ721468F14 |
|         580 |       589 | Marietta   | Rupert           | Foggarty         | VXNT468062Y38 |
|         632 |       203 | Melania    | Beels            | Rizzolo          | ZTSF980067V84 |
|         642 |       434 | Mela       | Oakenfull        | Lanmeid          | UXGQ962492V26 |
|         667 |       499 | Minna      | Willcott         | Yendall          | PZJG071133Z25 |
|         675 |       850 | Myca       | Joao             | Banghe           | GNXL987206R43 |
|         691 |       197 | Miguelita  | Gyrgorcewicx     | Baitson          | FHUQ255183C40 |
|         693 |       812 | Marcellina | Rennebach        | O'Fairy          | KSXC084833K49 |
|         702 |       120 | Marketa    | Marcone          | Lalley           | BOWR779925S05 |
|         731 |       418 | Moina      | Yesson           | Jellyman         | ZBHV480356S19 |
|         733 |       905 | Marla      | Morison          | Radbone          | GINF874329W18 |
|         747 |       465 | Miguelita  | Grimsdyke        | Nardi            | SUWQ930882K31 |
|         763 |       945 | Margareta  | McElwee          | Venediktov       | QNGU443101F44 |
|         768 |       372 | Melinda    | Rawet            | Blow             | GFQI220932Q89 |
|         781 |       850 | Monika     | Baytrop          | Wilne            | SBZX438327K92 |
+-------------+-----------+------------+------------------+------------------+---------------+
24 rows in set (0.11 sec)


mysql> SELECT * FROM empleado WHERE nombre LIKE 'M_losa';
+-------------+-----------+--------+------------------+------------------+---------------+
| id_empleado | id_puesto | nombre | apellido_paterno | apellido_materno | rfc           |
+-------------+-----------+--------+------------------+------------------+---------------+
|         356 |       605 | Melosa | Spavins          | Hesse            | FDJP585948D78 |
+-------------+-----------+--------+------------------+------------------+---------------+
1 row in set (0.11 sec)
